date,requests,bytes,cached_bytes
2026-05-04,12732,11633549,5434320
2026-06-06,12228,71663678,20422976
2026-05-30,12159,24576760,88339
2026-06-03,3487,34411247,11249724
2026-05-12,3364,83607305,61670202
2026-05-15,3325,4624967,923266
2026-05-16,3234,1537955,122026
2026-06-09,3155,3498151,851073
2026-06-11,2492,1974317,100940
2026-07-12,2039,3010810,1751562
2026-07-14,1968,1046189,85799
2026-06-13,1829,1030768,154201
2026-05-24,1752,1375131,472011
2026-06-04,1740,15296548,14530890
2026-06-14,1673,950259,136688
2026-05-10,1580,898164,123254
2026-04-23,1546,857180,88515
2026-05-29,1527,932994,171017
2026-06-21,1517,910113,143691
2026-07-10,1472,825631,171164
2026-05-02,1409,19912855,10841006
2026-07-16,1326,39028598,9290338
2026-05-14,1317,13092301,858722
2026-06-26,1159,1175739,103144
2026-06-16,1035,1038100,99718
2026-05-03,977,59213437,33141862
2026-06-24,851,31329837,8959563
2026-06-19,789,2426813,2046474
2026-05-28,776,17006630,957439
2026-05-08,699,2567665,678315
2026-06-18,669,448586,102742
2026-07-18,660,71017301,26006365
2026-06-27,638,8547410,491712
2026-06-01,613,19365833,5700660
2026-07-02,583,350985,67903
2026-05-13,564,28365687,22081623
2026-05-17,557,19534781,2639186
2026-06-25,550,390505,93377
2026-05-11,549,442312,196978
2026-05-19,544,389664,158754
2026-07-19,539,16931207,5032396
2026-07-03,521,35397251,2076069
2026-07-17,511,19825348,8860997
2026-07-09,503,16986781,1509529
2026-05-25,481,1413168,1182482
2026-07-01,478,41981981,8050760
2026-06-02,466,2312380,2088040
2026-07-13,464,303954,85108
2026-07-20,447,6236416,6026790
2026-05-09,432,328076,121571
2026-06-17,418,16823413,613365
2026-07-06,409,298437,98977
2026-04-25,403,19460891,2836313
2026-07-07,387,25379626,1559831
2026-06-20,380,389514,186080
2026-07-05,367,238302,69670
2026-04-26,345,23734479,5482037
2026-06-29,337,339924,111371
2026-06-22,329,223885,75080
2026-05-27,316,291602,137307
2026-05-05,309,19371595,8348721
2026-06-28,306,31719720,1924751
2026-05-23,301,12654465,863669
2026-05-20,283,33952933,3826183
2026-04-28,268,31993949,5779247
2026-05-01,267,2157480,1236884
2026-07-11,240,269508,129287
2026-04-29,225,188722,89455
2026-05-06,224,207696,104462
2026-05-21,223,232641,132544
2026-06-12,222,12609423,6045978
2026-06-30,209,25291119,13552336
2026-05-31,208,2153598,1656673
2026-04-27,204,16746441,1609865
2026-07-15,203,6493503,108166
2026-04-22,200,178987,89331
2026-05-22,194,171613,92195
2026-04-30,188,21268157,15237388
2026-06-08,185,185134,86634
2026-07-08,174,6129718,6048981
2026-06-05,172,14542502,2068322
2026-06-15,162,135473,63128
2026-07-04,159,19292377,2818551
2026-06-23,155,141661,72984
2026-04-24,153,106888,29321
2026-06-10,131,135699,81808
2026-05-07,121,97482,44407
2026-06-07,118,199814,137280
2026-05-26,98,601865,480397
2026-05-18,90,87526,54304
2026-07-21,5,8732,8732
